origin,destination,airlines,distance_miles
ABE,ATL,DL,692
ABE,BNA,G4,684
ABE,CLT,AA,481
ABE,DEN,G4,1535
ABE,FLL,G4,1043
ABE,MCO,G4,908
ABE,MLB,G4,916
ABE,MYR,G4,519
ABE,ORD,UA,653
ABE,PIE,G4,972
ABE,SFB,G4,884
ABE,SRQ,G4,1002
ABJ,ACC,EK,260
ABJ,ACC,ME,260
ABJ,ACC,QR,260
ABJ,ACC,SA,260
ABJ,ADD,ET,2939
ABJ,BRU,SN,3191
ABJ,CAI,MS,2869
ABJ,CDG,AF,3047
ABJ,CKY,ET,727
ABJ,CMN,AT,1956
ABJ,COO,SN,440
ABJ,COO,TK,440
ABJ,DLA,KQ,944
ABJ,DOH,QR,3919
ABJ,DSS,KQ,1105
ABJ,IST,TK,3200
ABJ,JFK,ET,4929
ABJ,LOS,ME,506
ABJ,NBO,KQ,2856
ABJ,OUA,SN,517
ABQ,ATL,DL,1267
ABQ,DEN,UA,349
ABQ,DFW,AA,568
ABQ,IAD,UA,1624
ABQ,IAH,UA,743
ABQ,JFK,B6,1822
ABQ,LAS,NK,485
ABQ,LAX,AA,676
ABQ,LAX,DL,676
ABQ,MSP,DL,980
ABQ,ORD,AA,1116
ABQ,ORD,UA,1116
ABQ,PDX,AS,1110
ABQ,PHX,AA,328
ABQ,SEA,AS,1179
ABQ,SFO,UA,894
ABQ,SLC,DL,493
ABS,ASW,MS,134
ABV,ADD,ET,2151
ABV,CAI,MS,2134
ABV,CDG,AF,2778
ABV,CMN,AT,1931
ABV,DOH,QR,3118
ABV,FRA,LH,2836
ABV,IST,TK,2586
ABV,KAN,QR,227
ABV,LFW,AF,456
ABV,LHR,BA,2967
ABV,NDJ,AF,570
ABV,PHC,LH,277
ABV,PHC,QR,277
ACA,DFW,AA,1128
ACA,IAH,UA,956
ACA,MEX,AM,190
ACC,ABJ,EK,260
ACC,ABJ,ME,260
ACC,ABJ,QR,260
ACC,ABJ,SA,260
ACC,ABJ,SN,260
ACC,ADD,ET,2679
ACC,AMS,KL,3239
ACC,ATL,DL,5675
ACC,BEY,ME,3001
ACC,BRU,SN,3141
ACC,CAI,MS,2661
ACC,CMN,AT,1977
ACC,COO,SN,183
ACC,DOH,QR,3678
ACC,DSS,KQ,1308
ACC,DXB,EK,3908
ACC,FCO,AZ,2615
ACC,FNA,KQ,917
ACC,IAD,UA,5293
ACC,IST,TK,3040
ACC,JFK,DL,5109
ACC,JNB,SA,2904
ACC,LFW,SN,105
ACC,LGW,BA,3147
ACC,LHR,BA,3169
ACC,LIS,TP,2360
ACC,NBO,KQ,2604
ACC,ROB,KQ,702
ACC,TMS,TP,596
ACE,BER,EW,2128
ACE,BRU,SN,1784
ACE,CGN,EW,1858
ACE,DUS,DE,1868
ACE,DUS,EW,1868
ACE,FAO,AY,646
ACE,FRA,4Y,1861
ACE,FRA,DE,1861
ACE,FUE,WK,37
ACE,HAM,DE,2079
ACE,HAM,EW,2079
ACE,LEJ,DE,2046
ACE,LGW,BA,1684
ACE,MAD,IB,979
ACE,MUC,4Y,1900
ACE,MUC,DE,1900
ACE,PRG,EW,2061
ACE,STR,EW,1822
ACE,VLC,IB,1043
ACE,ZRH,WK,1744
ACT,DFW,AA,90
ACV,DEN,UA,1023
ACV,LAX,UA,578
ACV,SFO,UA,250
ADB,ATH,A3,176
ADB,IST,TK,222
ADB,LHR,BA,1615
ADB,MUC,LH,1036
ADB,SKG,A3,271
ADD,ABJ,ET,2939
ADD,ABV,ET,2151
ADD,ACC,ET,2679
ADD,AMM,ET,1582
ADD,ARN,ET,3666
ADD,ATH,ET,2204
ADD,AUH,ET,1494
ADD,AUH,EY,1494
ADD,BAH,ET,1424
ADD,BEY,ET,1729
ADD,BJM,ET,1072
ADD,BKK,ET,4199
ADD,BLR,ET,2651
ADD,BOM,ET,2383
ADD,BRU,ET,3492
ADD,CAI,ET,1537
ADD,CAI,MS,1537
ADD,CAN,ET,4995
ADD,CDG,ET,3468
ADD,COO,ET,2499
ADD,CPT,ET,3249
ADD,DAC,ET,3549
ADD,DAR,ET,1096
ADD,DEL,ET,2829
ADD,DLA,ET,2025
ADD,DME,ET,3208
ADD,DMM,ET,1407
ADD,DOH,ET,1406
ADD,DOH,QR,1406
ADD,DXB,EK,1565
ADD,DXB,ET,1565
ADD,EBB,ET,757
ADD,FBM,ET,1618
ADD,FCO,ET,2784
ADD,FIH,ET,1855
ADD,FRA,ET,3324
ADD,GRU,ET,6168
ADD,GVA,ET,3217
ADD,HKG,ET,5037
ADD,HRE,ET,1932
ADD,HYD,ET,2722
ADD,ICN,ET,5714
ADD,IST,ET,2314
ADD,IST,TK,2314
ADD,JED,ET,878
ADD,JED,SV,878
ADD,JIB,ET,346
ADD,JNB,ET,2528
ADD,JUB,ET,569
ADD,KAN,ET,2067
ADD,KGL,ET,963
ADD,KHI,ET,2166
ADD,KWI,ET,1520
ADD,LAD,ET,2148
ADD,LFW,ET,2578
ADD,LGW,ET,3655
ADD,LHR,ET,3679
ADD,LOS,ET,2434
ADD,LUN,ET,1823
ADD,MAA,ET,2818
ADD,MAD,ET,3384
ADD,MCT,ET,1636
ADD,MED,ET,1078
ADD,MED,SV,1078
ADD,MGQ,ET,657
ADD,MPM,ET,2447
ADD,MRS,ET,3122
ADD,MXP,ET,3097
ADD,NBO,ET,723
ADD,NBO,KQ,723
ADD,NDJ,ET,1628
ADD,NSI,ET,1905
ADD,OUA,ET,2745
ADD,PEK,ET,5176
ADD,PVG,ET,5487
ADD,PZU,ET,730
ADD,ROB,ET,3370
ADD,RUH,ET,1220
ADD,SHJ,ET,1576
ADD,SIN,ET,4511
ADD,SSG,ET,2097
ADD,TFU,ET,4457
ADD,VFA,ET,2069
ADD,VIE,ET,2998
ADD,WDH,ET,2609
ADD,ZNZ,ET,1051
ADL,AKL,NZ,2020
ADL,BNE,QF,1007
ADL,BNE,VA,1007
ADL,CAN,CZ,4357
ADL,CNS,QF,1325
ADL,CNS,VA,1325
ADL,DOH,QR,7035
ADL,DRW,QF,1629
ADL,DXB,EK,6839
ADL,HBA,VA,727
ADL,KUL,MH,3531
ADL,MEL,QF,398
ADL,MEL,QR,398
ADL,MEL,VA,398
ADL,NAN,FJ,2663
ADL,OOL,VA,997
ADL,PER,QF,1315
ADL,PER,VA,1315
ADL,SIN,SQ,3357
ADL,SYD,QF,723
ADL,SYD,VA,723
AGP,AMS,KL,1170
AGP,ARN,SK,1874
AGP,ATH,A3,1559
AGP,AUH,EY,3563
AGP,BER,EW,1392
AGP,BGO,SK,1687
AGP,BRU,SN,1078
AGP,CDG,AF,923
AGP,CGN,EW,1136
AGP,CMN,AT,288
AGP,CMN,IB,288
AGP,CPH,SK,1535
AGP,DOH,QR,3368
AGP,DUS,EW,1151
AGP,EWR,UA,3667
AGP,FNC,IB,749
AGP,FRA,LH,1129
AGP,GOT,SK,1640
AGP,HAJ,EW,1290
AGP,HAM,EW,1362
AGP,HEL,AY,2083
AGP,IST,TK,1801
AGP,LCY,BA,1048
AGP,LGW,BA,1022
AGP,LHR,BA,1041
AGP,LIS,TP,292
AGP,MAD,IB,268
AGP,MUC,LH,1152
AGP,NCE,IB,783
AGP,OSL,SK,1765
AGP,PRG,EW,1315
AGP,RUH,SV,3106
AGP,STR,EW,1080
AGP,VIE,OS,1327
AGP,VLC,IB,292
AGS,ATL,DL,143
AGS,AUS,DL,947
AGS,BOS,DL,861
AGS,CLT,AA,140
AGS,DCA,AA,468
AGS,DCA,DL,468
AGS,DFW,AA,872
AGS,DTW,DL,616
AGS,HPN,DL,699
AGS,JFK,DL,675
AGS,LGA,DL,678
AGS,MSP,DL,996
AGU,DFW,AA,838
AGU,IAH,UA,717
AGU,MEX,AM,262
AKJ,HND,JL,579
AKJ,HND,NH,579
AKJ,ICN,OZ,940
AKJ,ITM,JL,719
AKJ,NGO,NH,679
AKL,ADL,NZ,2020
AKL,APW,NZ,1797
AKL,BHE,NZ,315
AKL,BNE,CI,1426
AKL,BNE,NZ,1426
AKL,BNE,QF,1426
AKL,CAN,CZ,5779
AKL,CHC,NZ,463
AKL,CNS,NZ,2250
AKL,DFW,AA,7448
AKL,DOH,QR,9031
AKL,DPS,NZ,4188
AKL,DUD,NZ,660
AKL,DXB,EK,8824
AKL,GIS,NZ,208
AKL,HBA,NZ,1493
AKL,HGH,MU,5826
AKL,HKG,CX,5698
AKL,HKG,NZ,5698
AKL,HNL,HA,4405
AKL,HNL,NZ,4405
AKL,IAH,NZ,7422
AKL,ICN,KE,6000
AKL,ICN,NZ,6000
AKL,IUE,NZ,1546
AKL,IVC,NZ,730
AKL,JFK,NZ,8833
AKL,JFK,QF,8833
AKL,KKE,NZ,130
AKL,KUL,MH,5408
AKL,LAX,AA,6516
AKL,LAX,DL,6516
AKL,LAX,NZ,6516
AKL,MEL,CI,1639
AKL,MEL,NZ,1639
AKL,MEL,QF,1639
AKL,NAN,FJ,1340
AKL,NAN,NZ,1340
AKL,NPE,NZ,204
AKL,NPL,NZ,142
AKL,NRT,NZ,5491
AKL,NSN,NZ,308
AKL,OOL,NZ,1377
AKL,PEK,CA,6479
AKL,PER,NZ,3316
AKL,PER,QF,3316
AKL,PMR,NZ,233
AKL,PPT,NZ,2543
AKL,PVG,MU,5821
AKL,PVG,NZ,5821
AKL,RAR,NZ,1873
AKL,ROT,NZ,113
AKL,SCL,LA,5998
AKL,SFO,NZ,6530
AKL,SFO,UA,6530
AKL,SIN,NZ,5225
AKL,SIN,SQ,5225
AKL,SYD,LA,1342
AKL,SYD,MU,1342
AKL,SYD,NZ,1342
AKL,SYD,QF,1342
AKL,TBU,NZ,1246
AKL,TPE,NZ,5524
AKL,TRG,NZ,90
AKL,TUO,NZ,139
AKL,WLG,NZ,298
AKL,WRE,NZ,89
AKL,YVR,AC,7060
AKL,YVR,NZ,7060
AKL,ZQN,NZ,636
ALA,DOH,QR,1901
ALA,FRA,LH,3163
ALA,ICN,OZ,2592
ALA,IST,TK,2438
ALA,NQZ,LH,591
ALA,PKX,CZ,2037
ALA,XIY,CZ,1800
ALB,ATL,DL,853
ALB,BNA,G4,824
ALB,CHS,MX,760
ALB,CLT,AA,646
ALB,DCA,AA,318
ALB,DFW,AA,1433
ALB,DTW,DL,488
ALB,EWR,UA,143
ALB,FLL,B6,1207
ALB,IAD,UA,325
ALB,LGA,DL,136
ALB,MCO,B6,1074
ALB,MIA,AA,1228
ALB,MYR,G4,685
ALB,ORD,AA,721
ALB,ORD,UA,721
ALB,PHL,AA,212
ALB,PIE,G4,1139
ALB,RDU,MX,544
ALB,SFB,G4,1050
ALB,SRQ,G4,1169
ALC,AMS,KL,1002
ALC,ARN,SK,1685
ALC,BGO,SK,1542
ALC,BRU,SN,906
ALC,CGN,EW,947
ALC,CPH,SK,1345
ALC,DUS,EW,967
ALC,FRA,LH,928
ALC,GOT,SK,1459
ALC,HAM,EW,1172
ALC,HEL,AY,1883
ALC,KEF,FI,1993
ALC,LGW,BA,889
ALC,LIS,TP,465
ALC,MAD,IB,222
ALC,MUC,LH,930
ALC,OSL,SK,1597
ALC,PRG,EW,1094
ALC,STR,EW,869
ALC,SVG,SK,1449
ALG,AMM,RJ,1895
ALG,AUH,EY,3136
ALG,CAI,MS,1681
ALG,CDG,AF,852
ALG,CMN,AT,653
ALG,DOH,QR,2941
ALG,DXB,EK,3149
ALG,FCO,AZ,598
ALG,FRA,LH,960
ALG,IST,TK,1401
ALG,JED,SV,2385
ALG,LGW,BA,1013
ALG,MAD,IB,450
ALG,YUL,AC,3899
AMA,DEN,UA,359
AMA,DFW,AA,312
AMA,IAH,UA,517
AMD,AUH,EY,1140
AMD,BKK,TG,1950
AMD,BLR,AI,759
AMD,BOM,AI,276
AMD,DAD,VJ,2360
AMD,DEL,AI,470
AMD,DOH,QR,1333
AMD,DXB,EK,1098
AMD,HAN,VJ,2122
AMD,JED,SV,2137
AMD,KUL,MH,2399
AMD,LGW,AI,4256
AMD,SGN,VJ,2395
AMD,SIN,SQ,2583
AMM,ADD,ET,1582
AMM,ALG,RJ,1895
AMM,AMS,RJ,2114
AMM,ARN,RJ,2102
AMM,ATH,A3,806
AMM,ATH,RJ,806
AMM,AUH,EY,1241
AMM,AUH,RJ,1241
AMM,BAH,RJ,960
AMM,BCN,RJ,1981
AMM,BEN,RJ,922
AMM,BER,RJ,1819
AMM,BEY,ME,148
AMM,BEY,RJ,148
AMM,BGW,RJ,492
AMM,BKK,RJ,4251
AMM,BOM,RJ,2447
AMM,BRU,RJ,2078
AMM,BSR,RJ,695
AMM,CAI,MS,294
AMM,CAI,RJ,294
AMM,CDG,RJ,2101
AMM,CMN,RJ,2522
AMM,DAM,RJ,121
AMM,DEL,RJ,2452
AMM,DME,RJ,1639
AMM,DMM,RJ,908
AMM,DOH,QR,1046
AMM,DOH,RJ,1046
AMM,DTW,RJ,6042
AMM,DUS,RJ,2004
AMM,DXB,EK,1256
AMM,DXB,RJ,1256
AMM,EBL,RJ,552
AMM,FCO,RJ,1480
AMM,FRA,LH,1893
AMM,FRA,RJ,1893
AMM,GVA,RJ,1876
AMM,IAD,RJ,5952
AMM,IST,RJ,772
AMM,IST,TK,772
AMM,JED,RJ,721
AMM,JED,SV,721
AMM,JFK,RJ,5726
AMM,KWI,RJ,733
AMM,LCA,RJ,257
AMM,LHR,BA,2289
AMM,LHR,RJ,2289
AMM,LYS,RJ,1909
AMM,MAD,RJ,2270
AMM,MAN,RJ,2409
AMM,MED,RJ,544
AMM,MED,SV,544
AMM,MJI,RJ,1326
AMM,MXP,RJ,1743
AMM,ORD,RJ,6222
AMM,OTP,RO,1036
AMM,RUH,RJ,801
AMM,RUH,SV,801
AMM,SSH,RJ,276
AMM,STN,RJ,2272
AMM,TUN,RJ,1508
AMM,ULH,RJ,384
AMM,VIE,OS,1521
AMM,YUL,RJ,5528
AMM,ZRH,RJ,1806
AMS,ACC,KL,3239
AMS,AGP,KL,1170
AMS,ALC,KL,1002
AMS,AMM,RJ,2114
AMS,ARN,KL,717
AMS,ARN,SK,717
AMS,ATH,A3,1356
AMS,ATH,KL,1356
AMS,ATL,DL,4391
AMS,ATL,KL,4391
AMS,AUA,KL,4895
AMS,AUH,EY,3225
AMS,AUS,KL,5078
AMS,BCN,KL,771
AMS,BEG,KL,876
AMS,BER,KL,369
AMS,BGO,KL,552
AMS,BHX,KL,275
AMS,BIO,KL,716
AMS,BKK,BR,5721
AMS,BKK,KL,5721
AMS,BLL,KL,296
AMS,BLQ,KL,614
AMS,BLR,KL,4781
AMS,BOD,KL,574
AMS,BOG,KL,5493
AMS,BOM,KL,4262
AMS,BOS,B6,3447
AMS,BOS,DL,3447
AMS,BOS,KL,3447
AMS,BRE,KL,176
AMS,BRU,KL,98
AMS,BSL,KL,348
AMS,BUD,KL,726
AMS,CAI,MS,2043
AMS,CAN,CZ,5679
AMS,CDG,AF,247
AMS,CDG,KL,247
AMS,CGK,GA,7055
AMS,CMN,AT,1446
AMS,CPH,KL,393
AMS,CPH,SK,393
AMS,CPT,KL,6019
AMS,CTA,KL,1140
AMS,CUN,KL,5146
AMS,CUR,KL,4868
AMS,DBV,KL,920
AMS,DEL,AI,3954
AMS,DEL,KL,3954
AMS,DFW,AA,4909
AMS,DOH,QR,3059
AMS,DTW,DL,3929
AMS,DUB,KL,466
AMS,DUS,KL,111
AMS,DXB,EK,3212
AMS,DXB,KL,3212
AMS,EDI,KL,414
AMS,EWR,UA,3647
AMS,EZE,KL,7122
AMS,FCO,AZ,806
AMS,FCO,KL,806
AMS,FLR,KL,658
AMS,FRA,KL,227
AMS,FRA,LH,227
AMS,GDN,KL,582
AMS,GIG,KL,5940
AMS,GLA,KL,446
AMS,GOT,KL,475
AMS,GRU,KL,6074
AMS,GVA,KL,424
AMS,HAJ,KL,208
AMS,HAM,KL,236
AMS,HEL,AY,946
AMS,HEL,KL,946
AMS,HKG,CX,5763
AMS,HKG,KL,5763
AMS,HYD,KL,4595
AMS,IAD,KL,3857
AMS,IAD,UA,3857
AMS,IAH,KL,5002
AMS,IAH,UA,5002
AMS,ICN,KE,5314
AMS,ICN,KL,5314
AMS,INN,OS,456
AMS,IST,KL,1356
AMS,IST,TK,1356
AMS,JED,SV,2794
AMS,JFK,B6,3634
AMS,JFK,DL,3634
AMS,JFK,KL,3634
AMS,JNB,KL,5603
AMS,KEF,FI,1266
AMS,KGL,KL,4031
AMS,KIX,KL,5742
AMS,KRK,KL,667
AMS,KUL,KL,6361
AMS,LAS,KL,5342
AMS,LAX,KL,5565
AMS,LBA,KL,287
AMS,LCY,BA,208
AMS,LCY,KL,208
AMS,LHR,BA,230
AMS,LHR,KL,230
AMS,LIM,KL,6537
AMS,LIN,AZ,516
AMS,LIN,KL,516
AMS,LIS,KL,1147
AMS,LIS,TP,1147
AMS,LJU,KL,605
AMS,LOS,KL,3161
AMS,LUX,KL,196
AMS,LYS,AF,455
AMS,LYS,KL,455
AMS,MAD,IB,907
AMS,MAD,KL,907
AMS,MAN,KL,302
AMS,MCO,DL,4531
AMS,MEX,AM,5721
AMS,MEX,KL,5721
AMS,MIA,KL,4625
AMS,MRS,KL,613
AMS,MSP,DL,4154
AMS,MSP,KL,4154
AMS,MUC,EN,413
AMS,MUC,KL,413
AMS,MUC,LH,413
AMS,NAP,KL,908
AMS,NBO,KL,4149
AMS,NBO,KQ,4149
AMS,NCE,KL,608
AMS,NCL,KL,324
AMS,NRT,KL,5790
AMS,NTE,KL,455
AMS,NUE,KL,336
AMS,OPO,KL,991
AMS,ORD,KL,4109
AMS,ORD,UA,4109
AMS,OSL,KL,596
AMS,OSL,SK,596
AMS,OTP,KL,1109
AMS,OTP,RO,1109
AMS,PBM,KL,4676
AMS,PDX,KL,4989
AMS,PEK,KL,4864
AMS,PHL,AA,3726
AMS,PKX,CZ,4890
AMS,PMI,KL,887
AMS,POZ,KL,508
AMS,PRG,KL,438
AMS,PTY,KL,5476
AMS,PVG,KL,5537
AMS,PVG,MU,5537
AMS,RUH,KL,2884
AMS,RVN,KL,1219
AMS,SAN,KL,5600
AMS,SEA,DL,4872
AMS,SFO,KL,5459
AMS,SFO,UA,5459
AMS,SIN,KL,6533
AMS,SIN,SQ,6533
AMS,SJO,KL,5630
AMS,SKG,A3,1184
AMS,SLC,DL,4976
AMS,SLC,KL,4976
AMS,STR,KL,318
AMS,SVG,KL,455
AMS,SXM,KL,4308
AMS,TLS,KL,620
AMS,TPA,DL,4604
AMS,TPE,CI,5867
AMS,TPE,KL,5867
AMS,TRN,KL,508
AMS,UIO,KL,5935
AMS,VCE,KL,582
AMS,VIE,KL,596
AMS,VIE,OS,596
AMS,VLC,KL,920
AMS,WAW,KL,684
AMS,WAW,LO,684
AMS,WRO,KL,525
AMS,XMN,MF,5789
AMS,YEG,KL,4322
AMS,YUL,AC,3420
AMS,YUL,KL,3420
AMS,YVR,KL,4789
AMS,YYC,KL,4454
AMS,YYZ,AC,3722
AMS,YYZ,KL,3722
AMS,ZAG,KL,683
AMS,ZAG,OU,683
AMS,ZNZ,KL,4523
AMS,ZRH,KL,375
ANC,ATL,DL,3410
ANC,DEN,AS,2401
ANC,DEN,UA,2401
ANC,DFW,AA,3038
ANC,DTW,AS,2978
ANC,DTW,DL,2978
ANC,EWR,UA,3361
ANC,FRA,4Y,4661
ANC,FRA,DE,4661
ANC,HNL,AS,2780
ANC,IAD,UA,3348
ANC,IAH,UA,3261
ANC,JFK,AS,3377
ANC,KOA,AS,2878
ANC,LAS,AS,2301
ANC,LAX,AS,2343
ANC,LAX,DL,2343
ANC,MSP,AS,2512
ANC,MSP,DL,2512
ANC,OGG,AS,2800
ANC,ORD,AA,2839
ANC,ORD,AS,2839
ANC,ORD,UA,2839
ANC,PDX,AS,1539
ANC,PHX,AS,2549
ANC,SAN,AS,2449
ANC,SEA,AS,1445
ANC,SEA,DL,1445
ANC,SEA,HA,1445
ANC,SFO,AS,2016
ANC,SFO,UA,2016
ANC,SLC,AS,2121
ANC,SLC,DL,2121
ANC,SMF,AS,1970
ANC,YVR,AC,1327
ANU,ATL,DL,1808
ANU,AUA,BA,636
ANU,BGI,VS,320
ANU,CLT,AA,1717
ANU,EWR,UA,1787
ANU,JFK,AA,1774
ANU,JFK,B6,1774
ANU,JFK,DL,1774
ANU,LGW,BA,4079
ANU,LHR,VS,4072
ANU,MIA,AA,1329
ANU,PUJ,DE,443
ANU,SJU,F9,291
ANU,SKB,BA,62
ANU,YYZ,AC,2109
AOJ,CTS,JL,150
AOJ,CTS,NH,150
AOJ,HND,JL,361
AOJ,ICN,KE,795
AOJ,ITM,JL,501
AOJ,ITM,NH,501
AOJ,TPE,BR,1557
APW,AKL,NZ,1797
APW,BNE,QF,2431
APW,BNE,VA,2431
APW,HNL,FJ,2609
APW,NAN,FJ,752
ARN,ADD,ET,3666
ARN,AGP,SK,1874
ARN,ALC,SK,1685
ARN,AMM,RJ,2102
ARN,AMS,KL,717
ARN,AMS,SK,717
ARN,ATH,A3,1524
ARN,ATH,SK,1524
ARN,BCN,SK,1439
ARN,BER,EW,532
ARN,BER,SK,532
ARN,BEY,EW,1955
ARN,BEY,SK,1955
ARN,BGO,AY,441
ARN,BGO,SK,441
ARN,BKK,TG,5154
ARN,BLL,SK,422
ARN,BLQ,SK,1081
ARN,BRU,SK,801
ARN,BRU,SN,801
ARN,CDG,AF,957
ARN,CDG,SK,957
ARN,CGN,EW,739
ARN,CHQ,SK,1690
ARN,CPH,SK,341
ARN,DOH,QR,2869
ARN,DUB,SK,1010
ARN,DUS,EW,723
ARN,DXB,EK,2973
ARN,EDI,SK,821
ARN,EWR,SK,3920
ARN,EWR,UA,3920
ARN,FAO,SK,1939
ARN,FCO,SK,1257
ARN,FLR,SK,1131
ARN,FNC,SK,2442
ARN,FRA,LH,760
ARN,GOT,SK,245
ARN,GVA,SK,1046
ARN,HAJ,EW,589
ARN,HAM,EW,514
ARN,HAM,SK,514
ARN,HEL,AY,247
ARN,HEL,SK,247
ARN,HER,SK,1711
ARN,HND,NH,5075
ARN,INN,SK,897
ARN,IST,TK,1352
ARN,JFK,DL,3910
ARN,KEF,FI,1332
ARN,KEF,SK,1332
ARN,KLX,A3,1571
ARN,KLX,SK,1571
ARN,LCA,SK,1852
ARN,LHR,BA,910
ARN,LHR,SK,910
ARN,LIN,SK,1045
ARN,LIS,SK,1864
ARN,LIS,TP,1864
ARN,LPA,SK,2694
ARN,MAD,IB,1616
ARN,MAN,SK,880
ARN,MIA,SK,4969
ARN,MUC,LH,819
ARN,MXP,SK,1041
ARN,NAP,SK,1306
ARN,NCE,SK,1193
ARN,OSL,ET,240
ARN,OSL,SK,240
ARN,PEK,CA,4157
ARN,PMI,SK,1538
ARN,PMO,SK,1499
ARN,PRG,EW,676
ARN,PRG,SK,676
ARN,PRN,SK,1187
ARN,SKG,SK,1340
ARN,STR,EW,834
ARN,SVQ,SK,1862
ARN,TFS,SK,2720
ARN,TIA,SK,1263
ARN,TLL,SK,242
ARN,TOS,SK,694
ARN,VIE,OS,799
ARN,VNO,SK,442
ARN,WAW,LO,530
ARN,YYZ,AC,3923
ARN,ZAG,OU,964
ARN,ZRH,SK,924
ASE,ATL,DL,1302
ASE,AUS,AA,813
ASE,CLT,AA,1448
ASE,DEN,UA,125
ASE,DFW,AA,701
ASE,IAH,UA,913
ASE,LAX,AA,736
ASE,LAX,DL,736
ASE,LAX,UA,736
ASE,ORD,AA,1011
ASE,ORD,UA,1011
ASE,PHX,AA,492
ASE,SFO,UA,846
ASJ,FUK,JL,359
ASJ,HND,JL,767
ASJ,ITM,JL,553
ASJ,KKX,JL,15
ASJ,KKX,NH,15
ASJ,KOJ,JL,241
ASJ,KOJ,NH,241
ASJ,RNJ,JL,125
ASJ,RNJ,NH,125
ASJ,TKN,JL,65
ASJ,TKN,NH,65
ASM,CAI,MS,1130
ASM,IST,TK,1895
ASM,JUB,TK,875
ASW,ABS,MS,134
ASW,CAI,MS,434
ASW,JED,MS,433
ATH,ADB,A3,176
ATH,ADD,ET,2204
ATH,AGP,A3,1559
ATH,AMM,A3,806
ATH,AMM,RJ,806
ATH,AMS,A3,1356
ATH,AMS,KL,1356
ATH,ARN,A3,1524
ATH,ARN,SK,1524
ATH,ATL,DL,5688
ATH,AUH,A3,2027
ATH,AUH,EY,2027
ATH,AXD,A3,229
ATH,BCN,A3,1183
ATH,BEG,A3,511
ATH,BER,A3,1116
ATH,BEY,A3,705
ATH,BEY,ME,705
ATH,BIO,A3,1449
ATH,BLQ,A3,799
ATH,BOD,A3,1358
ATH,BOS,DL,4744
ATH,BRU,A3,1306
ATH,BRU,SN,1306
ATH,BUD,A3,698
ATH,CAI,A3,688
ATH,CAI,MS,688
ATH,CDG,A3,1310
ATH,CDG,AF,1310
ATH,CGN,EW,1213
ATH,CHQ,A3,167
ATH,CLT,AA,5466
ATH,CPH,A3,1330
ATH,CPH,SK,1330
ATH,CTA,A3,486
ATH,DBV,A3,438
ATH,DBV,OU,438
ATH,DOH,QR,1838
ATH,DUB,A3,1787
ATH,DUS,A3,1245
ATH,DUS,EW,1245
ATH,DXB,A3,2033
ATH,DXB,EK,2033
ATH,EBL,A3,1107
ATH,EDI,A3,1770
ATH,EFL,A3,188
ATH,EVN,A3,1106
ATH,EWR,EK,4944
ATH,EWR,UA,4944
ATH,FCO,A3,675
ATH,FCO,AZ,675
ATH,FLR,A3,778
ATH,FRA,A3,1129
ATH,FRA,DE,1129
ATH,FRA,LH,1129
ATH,GOT,SK,1462
ATH,GVA,A3,1076
ATH,GYD,A3,1403
ATH,HAJ,A3,1215
ATH,HAM,A3,1271
ATH,HBE,A3,585
ATH,HEL,A3,1548
ATH,HER,A3,192
ATH,IAD,UA,5156
ATH,INN,A3,907
ATH,IOA,A3,207
ATH,IST,A3,343
ATH,IST,TK,343
ATH,JED,A3,1443
ATH,JED,SV,1443
ATH,JFK,AA,4929
ATH,JFK,DL,4929
ATH,JKH,A3,123
ATH,JMK,A3,84
ATH,JTR,A3,136
ATH,KGS,A3,190
ATH,KLX,A3,121
ATH,KRK,A3,864
ATH,KVA,A3,209
ATH,LCA,A3,578
ATH,LGW,A3,1487
ATH,LHR,A3,1508
ATH,LHR,BA,1508
ATH,LIS,A3,1783
ATH,LJU,A3,750
ATH,LUX,A3,1192
ATH,LXR,A3,990
ATH,LXS,A3,153
ATH,LYS,A3,1106
ATH,MAD,A3,1477
ATH,MAD,IB,1477
ATH,MAN,A3,1638
ATH,MJT,A3,163
ATH,MLA,A3,542
ATH,MRS,A3,1049
ATH,MUC,A3,943
ATH,MUC,LH,943
ATH,MXP,A3,945
ATH,NAP,A3,554
ATH,NCE,A3,958
ATH,NTE,A3,1439
ATH,OPO,A3,1742
ATH,ORD,AA,5450
ATH,ORD,UA,5450
ATH,OSL,A3,1637
ATH,OSL,SK,1637
ATH,OTP,A3,472
ATH,OTP,RO,472
ATH,PEK,CA,4727
ATH,PHL,AA,5023
ATH,PMI,A3,1146
ATH,PMO,A3,590
ATH,PRG,A3,967
ATH,PRG,EW,967
ATH,PVG,HO,5317
ATH,RAK,A3,1857
ATH,RHO,A3,251
ATH,RIX,A3,1312
ATH,RMO,A3,671
ATH,RUH,A3,1606
ATH,RUH,SV,1606
ATH,SKG,A3,186
ATH,SKP,A3,304
ATH,SMI,A3,163
ATH,SOF,A3,330
ATH,SSH,A3,916
ATH,STR,A3,1045
ATH,STR,EW,1045
ATH,SVQ,A3,1625
ATH,SXB,A3,1096
ATH,TBS,A3,1142
ATH,TGD,A3,393
ATH,TIA,A3,329
ATH,TLS,A3,1240
ATH,TUN,A3,756
ATH,VCE,A3,793
ATH,VIE,A3,795
ATH,VIE,OS,795
ATH,VLC,A3,1317
ATH,VNO,A3,1156
ATH,WAW,A3,994
ATH,WAW,LO,994
